Sinusoidal, 0.1Hz, 2V;;Saturación;;Sinusoidal, 0.3Hz, 2V;;Saturación;;Sierra, 0.1Hz, 2V;;Saturación;;Sierra, 0.3Hz, 2V;;Saturación;
0.226;0.47;;;0.219;-0.01;;;-0.064;0.29;;;0.33;0.35;;
0.203;0.47;;;0.247;0.03;;;-0.078;0.28;;;0.318;0.35;;
0.181;0.46;;;0.277;0.07;;;-0.092;0.26;;;0.302;0.36;;
0.159;0.45;;;0.306;0.11;;;-0.106;0.25;;;0.283;0.36;;
0.137;0.45;;;0.334;0.15;;;-0.119;0.23;;;0.262;0.36;;
0.114;0.44;;;0.36;0.18;;;-0.132;0.22;;;0.237;0.36;;
0.092;0.43;;;0.385;0.22;;;-0.144;0.2;;;0.21;0.35;;
0.07;0.42;;;0.406;0.25;;;-0.158;0.18;;;0.183;0.35;;
0.049;0.41;;;0.426;0.28;;;-0.171;0.16;;;0.155;0.34;;
0.027;0.4;;;0.441;0.31;;;-0.183;0.14;;;0.127;0.34;;
0.006;0.39;;;0.453;0.34;;;-0.198;0.12;;;0.099;0.33;;
-0.015;0.38;;;0.46;0.36;;;-0.212;0.1;;;0.07;0.32;;
-0.035;0.36;;;0.463;0.38;;;-0.226;0.08;;;0.042;0.31;;
-0.054;0.35;;;0.459;0.39;;;-0.241;0.05;;;0.014;0.3;;
-0.072;0.34;;;0.449;0.4;;;-0.258;0.03;;;-0.013;0.29;;
-0.089;0.32;;;0.434;0.41;;;-0.274;0;;;-0.041;0.27;;
-0.105;0.3;;;0.413;0.41;;;-0.29;-0.02;;;-0.065;0.26;;
-0.121;0.29;;;0.385;0.41;;;-0.308;-0.05;;;-0.089;0.24;;
-0.135;0.27;;;0.352;0.41;;;-0.327;-0.07;;;-0.112;0.22;;
-0.148;0.25;;;0.314;0.41;;;-0.346;-0.1;;;-0.132;0.2;;
-0.161;0.23;;;0.271;0.4;;;-0.366;-0.12;;;-0.151;0.18;;
-0.163;0.21;;;0.226;0.4;;;-0.387;-0.15;;;-0.171;0.15;;
-0.177;0.19;;;0.177;0.39;;;-0.408;-0.17;;;-0.192;0.13;;
-0.186;0.17;;;0.132;0.37;;;-0.43;-0.2;;;-0.215;0.1;;
-0.197;0.15;;;0.084;0.36;;;-0.452;-0.22;;;-0.238;0.07;;
-0.207;0.13;;;0.038;0.34;;;-0.475;-0.25;;;-0.265;0.03;;
-0.22;0.11;;;-0.006;0.32;;;-0.49;-0.27;;;-0.292;0;;
-0.231;0.09;;;-0.047;0.3;;;-0.497;-0.29;;;-0.324;-0.03;;
-0.243;0.07;;;-0.085;0.28;;;-0.5;-0.31;;;-0.345;-0.07;;
-0.254;0.05;;;-0.117;0.25;;;-0.501;-0.32;;;-0.354;-0.09;;
-0.265;0.03;;;-0.146;0.22;;;-0.499;-0.33;;;-0.356;-0.11;;
-0.278;0;;;-0.175;0.18;;;-0.495;-0.34;;;-0.356;-0.13;;
-0.289;-0.02;;;-0.203;0.15;;;-0.49;-0.35;;;-0.351;-0.14;;
-0.304;-0.04;;;-0.233;0.11;;;-0.482;-0.35;;;-0.342;-0.15;;
-0.318;-0.06;;;-0.262;0.07;;;-0.474;-0.36;;;-0.328;-0.16;;
-0.331;-0.09;;;-0.293;0.03;;;-0.464;-0.36;;;-0.312;-0.16;;
-0.34;-0.11;;;-0.321;-0.01;;;-0.453;-0.36;;;-0.292;-0.16;;
-0.352;-0.13;;;-0.349;-0.05;;;-0.441;-0.36;;;-0.27;-0.16;;
-0.364;-0.15;;;-0.374;-0.08;;;-0.427;-0.36;;;-0.245;-0.16;;
-0.376;-0.17;;;-0.398;-0.12;;;-0.412;-0.36;;;-0.218;-0.15;;
-0.387;-0.19;;;-0.418;-0.15;;;-0.396;-0.36;;;-0.19;-0.15;;
-0.397;-0.2;;;-0.436;-0.18;;;-0.379;-0.36;;;-0.161;-0.14;;
-0.406;-0.22;;;-0.45;-0.21;;;-0.361;-0.35;;;-0.132;-0.14;;
-0.416;-0.24;;;-0.459;-0.23;;;-0.343;-0.35;;;-0.103;-0.13;;
-0.425;-0.26;;;-0.464;-0.25;;;-0.326;-0.35;;;-0.074;-0.12;;
-0.432;-0.27;;;-0.465;-0.27;;;-0.307;-0.35;;;-0.046;-0.11;;
-0.439;-0.28;;;-0.459;-0.28;;;-0.29;-0.34;;;-0.018;-0.1;;
-0.443;-0.3;;;-0.448;-0.29;;;-0.272;-0.34;;;0.009;-0.09;;
-0.444;-0.31;;;-0.429;-0.29;;;-0.253;-0.33;;;0.035;-0.07;;
-0.444;-0.31;;;-0.406;-0.3;;;-0.235;-0.33;;;0.061;-0.06;;
-0.446;-0.32;;;-0.377;-0.3;;;-0.217;-0.32;;;0.085;-0.04;;
-0.445;-0.33;;;-0.343;-0.29;;;-0.2;-0.32;;;0.106;-0.03;;
-0.445;-0.34;;;-0.302;-0.29;;;-0.181;-0.31;;;0.113;-0.01;;
-0.441;-0.34;;;-0.259;-0.28;;;-0.164;-0.31;;;0.131;0.01;;
-0.438;-0.34;;;-0.213;-0.28;;;-0.145;-0.3;;;0.148;0.03;;
-0.432;-0.35;;;-0.167;-0.26;;;-0.128;-0.29;;;0.164;0.05;;
-0.427;-0.35;;;-0.119;-0.25;;;-0.111;-0.29;;;0.185;0.07;;
-0.417;-0.35;;;-0.072;-0.24;;;-0.092;-0.28;;;0.206;0.1;;
-0.405;-0.35;;;-0.028;-0.22;;;-0.075;-0.27;;;0.229;0.13;;
-0.388;-0.35;;;0.017;-0.2;;;-0.059;-0.26;;;0.253;0.16;;
-0.375;-0.35;;;0.057;-0.18;;;-0.041;-0.25;;;0.282;0.19;;
-0.36;-0.35;;;0.094;-0.15;;;-0.024;-0.25;;;0.299;0.22;;
-0.343;-0.35;;;0.126;-0.12;;;-0.007;-0.24;;;0.308;0.25;;
-0.329;-0.34;;;0.154;-0.09;;;0.009;-0.23;;;0.313;0.27;;
-0.303;-0.34;;;0.182;-0.06;;;0.025;-0.22;;;0.313;0.29;;
-0.28;-0.34;;;0.211;-0.02;;;0.041;-0.2;;;0.307;0.3;;
-0.259;-0.33;;;0.24;0.02;;;0.056;-0.19;;;0.298;0.31;;
-0.241;-0.33;;;0.269;0.06;;;0.071;-0.18;;;0.287;0.32;;
-0.222;-0.32;;;0.297;0.1;;;0.086;-0.17;;;0.271;0.32;;
-0.206;-0.32;;;0.326;0.14;;;0.101;-0.15;;;0.252;0.32;;
-0.189;-0.31;;;0.353;0.17;;;0.114;-0.14;;;0.231;0.32;;
-0.171;-0.31;;;0.379;0.21;;;0.127;-0.12;;;0.206;0.32;;
-0.153;-0.3;;;0.401;0.24;;;0.14;-0.1;;;0.182;0.32;;
-0.136;-0.29;;;0.421;0.28;;;0.152;-0.09;;;0.153;0.31;;
-0.11;-0.29;;;0.438;0.3;;;0.166;-0.07;;;0.127;0.31;;
-0.091;-0.28;;;;;;;0.179;-0.05;;;0.101;0.3;;
-0.076;-0.27;;;;;;;0.192;-0.03;;;0.076;0.29;;
-0.06;-0.26;;;;;;;0.206;0;;;0.059;0.29;;
-0.051;-0.26;;;;;;;0.22;0.02;;;0.048;0.28;;
-0.043;-0.25;;;;;;;0.234;0.04;;;0.019;0.27;;
-0.037;-0.25;;;;;;;0.25;0.07;;;-0.009;0.26;;
-0.033;-0.24;;;;;;;0.266;0.09;;;-0.034;0.25;;
-0.029;-0.24;;;;;;;0.283;0.12;;;-0.059;0.24;;
-0.018;-0.23;;;;;;;0.3;0.14;;;-0.084;0.22;;
0.003;-0.23;;;;;;;0.319;0.17;;;-0.104;0.2;;
0.022;-0.22;;;;;;;0.338;0.19;;;-0.126;0.18;;
0.052;-0.2;;;;;;;0.357;0.22;;;-0.146;0.16;;
0.073;-0.19;;;;;;;0.378;0.24;;;-0.168;0.14;;
0.091;-0.17;;;;;;;0.399;0.27;;;-0.188;0.11;;
0.106;-0.16;;;;;;;0.42;0.3;;;-0.21;0.08;;
0.121;-0.14;;;;;;;0.444;0.32;;;-0.236;0.05;;
0.134;-0.12;;;;;;;0.467;0.35;;;-0.264;0.02;;
0.146;-0.11;;;;;;;0.48;0.37;;;-0.295;-0.01;;
0.16;-0.09;;;;;;;0.486;0.39;;;-0.326;-0.05;;
0.174;-0.06;;;;;;;0.49;0.4;;;-0.342;-0.08;;
0.19;-0.04;;;;;;;0.491;0.42;;;-0.348;-0.1;;
0.207;-0.01;;;;;;;0.489;0.43;;;-0.35;-0.12;;
0.223;0.01;;;;;;;0.485;0.44;;;-0.349;-0.13;;
0.238;0.04;;;;;;;0.48;0.44;;;-0.342;-0.14;;
0.253;0.07;;;;;;;0.472;0.45;;;-0.332;-0.15;;
0.268;0.09;;;;;;;0.464;0.45;;;-0.316;-0.15;;
0.283;0.12;;;;;;;0.455;0.45;;;-0.298;-0.16;;
0.298;0.15;;;;;;;0.444;0.46;;;-0.276;-0.16;;
0.315;0.17;;;;;;;0.43;0.46;;;-0.252;-0.15;;
0.33;0.2;;;;;;;0.416;0.46;;;-0.227;-0.15;;
0.344;0.22;;;;;;;0.401;0.45;;;-0.2;-0.15;;
0.359;0.25;;;;;;;0.385;0.45;;;;;;
0.373;0.27;;;;;;;0.367;0.45;;;;;;
0.387;0.29;;;;;;;0.349;0.45;;;;;;
0.401;0.31;;;;;;;0.332;0.44;;;;;;
0.412;0.33;;;;;;;0.313;0.44;;;;;;
0.424;0.35;;;;;;;0.295;0.44;;;;;;
0.435;0.37;;;;;;;0.278;0.43;;;;;;
0.446;0.39;;;;;;;0.259;0.43;;;;;;
0.455;0.4;;;;;;;0.241;0.43;;;;;;
0.463;0.42;;;;;;;0.223;0.42;;;;;;
0.47;0.43;;;;;;;0.204;0.42;;;;;;
0.476;0.44;;;;;;;0.187;0.41;;;;;;
0.481;0.45;;;;;;;0.168;0.41;;;;;;
0.486;0.46;;;;;;;0.15;0.4;;;;;;
0.488;0.47;;;;;;;0.132;0.39;;;;;;
0.49;0.48;;;;;;;0.115;0.39;;;;;;
0.489;0.49;;;;;;;0.098;0.38;;;;;;
0.487;0.49;;;;;;;0.08;0.37;;;;;;
0.483;0.5;;;;;;;0.063;0.36;;;;;;
0.479;0.5;;;;;;;0.045;0.36;;;;;;
0.472;0.5;;;;;;;0.029;0.35;;;;;;
0.464;0.5;;;;;;;0.012;0.34;;;;;;
0.455;0.5;;;;;;;-0.004;0.33;;;;;;
0.443;0.5;;;;;;;-0.021;0.32;;;;;;
0.429;0.5;;;;;;;-0.037;0.31;;;;;;
0.414;0.5;;;;;;;-0.053;0.29;;;;;;
0.397;0.5;;;;;;;-0.068;0.28;;;;;;
0.381;0.49;;;;;;;-0.082;0.27;;;;;;
0.362;0.49;;;;;;;-0.096;0.25;;;;;;
0.344;0.49;;;;;;;-0.109;0.24;;;;;;
0.325;0.49;;;;;;;-0.122;0.22;;;;;;
0.305;0.48;;;;;;;-0.135;0.21;;;;;;
0.285;0.48;;;;;;;-0.148;0.19;;;;;;
0.265;0.47;;;;;;;-0.161;0.17;;;;;;
0.244;0.47;;;;;;;-0.174;0.15;;;;;;
0.224;0.46;;;;;;;-0.187;0.13;;;;;;
0.203;0.46;;;;;;;-0.201;0.11;;;;;;
0.181;0.45;;;;;;;-0.215;0.09;;;;;;
0.16;0.45;;;;;;;-0.23;0.06;;;;;;
0.139;0.44;;;;;;;-0.245;0.04;;;;;;
0.117;0.43;;;;;;;-0.261;0.02;;;;;;
0.096;0.42;;;;;;;-0.278;-0.01;;;;;;
0.072;0.41;;;;;;;-0.295;-0.03;;;;;;
0.053;0.41;;;;;;;-0.314;-0.06;;;;;;
0.034;0.4;;;;;;;-0.332;-0.08;;;;;;
0.013;0.38;;;;;;;-0.351;-0.11;;;;;;
-0.006;0.37;;;;;;;-0.37;-0.14;;;;;;
-0.025;0.36;;;;;;;-0.392;-0.16;;;;;;
-0.023;0.35;;;;;;;-0.413;-0.19;;;;;;
0.007;0.35;;;;;;;-0.436;-0.21;;;;;;
0.006;0.35;;;;;;;-0.459;-0.24;;;;;;
-0.043;0.34;;;;;;;-0.481;-0.26;;;;;;
-0.07;0.33;;;;;;;-0.492;-0.28;;;;;;
-0.089;0.31;;;;;;;-0.498;-0.3;;;;;;
-0.103;0.3;;;;;;;-0.5;-0.32;;;;;;
-0.118;0.28;;;;;;;-0.5;-0.33;;;;;;
-0.131;0.26;;;;;;;-0.498;-0.34;;;;;;
-0.142;0.25;;;;;;;-0.494;-0.35;;;;;;
-0.153;0.23;;;;;;;-0.488;-0.35;;;;;;
-0.165;0.21;;;;;;;-0.481;-0.36;;;;;;
-0.175;0.19;;;;;;;-0.472;-0.36;;;;;;
-0.186;0.17;;;;;;;-0.462;-0.37;;;;;;
-0.203;0.15;;;;;;;-0.451;-0.37;;;;;;
-0.221;0.12;;;;;;;-0.437;-0.37;;;;;;
-0.236;0.1;;;;;;;-0.423;-0.37;;;;;;
-0.25;0.07;;;;;;;-0.408;-0.36;;;;;;
-0.265;0.05;;;;;;;-0.391;-0.36;;;;;;
-0.281;0.02;;;;;;;-0.375;-0.36;;;;;;
-0.295;-0.01;;;;;;;-0.356;-0.36;;;;;;
-0.307;-0.03;;;;;;;-0.34;-0.35;;;;;;
-0.32;-0.05;;;;;;;-0.322;-0.35;;;;;;
-0.334;-0.08;;;;;;;-0.303;-0.35;;;;;;
-0.347;-0.1;;;;;;;-0.285;-0.34;;;;;;
-0.361;-0.12;;;;;;;-0.267;-0.34;;;;;;
-0.375;-0.15;;;;;;;-0.248;-0.34;;;;;;
-0.387;-0.17;;;;;;;-0.232;-0.33;;;;;;
-0.398;-0.19;;;;;;;-0.212;-0.33;;;;;;
-0.408;-0.21;;;;;;;-0.195;-0.32;;;;;;
-0.418;-0.23;;;;;;;-0.176;-0.31;;;;;;
-0.427;-0.24;;;;;;;-0.159;-0.31;;;;;;
-0.433;-0.26;;;;;;;-0.141;-0.3;;;;;;
-0.44;-0.27;;;;;;;-0.123;-0.3;;;;;;
-0.445;-0.29;;;;;;;-0.105;-0.29;;;;;;
-0.45;-0.3;;;;;;;-0.088;-0.28;;;;;;
-0.453;-0.31;;;;;;;-0.071;-0.27;;;;;;
-0.456;-0.32;;;;;;;-0.053;-0.27;;;;;;
-0.456;-0.33;;;;;;;-0.036;-0.26;;;;;;
-0.456;-0.34;;;;;;;-0.02;-0.25;;;;;;
-0.453;-0.34;;;;;;;-0.004;-0.24;;;;;;
-0.45;-0.35;;;;;;;0.013;-0.23;;;;;;
-0.446;-0.35;;;;;;;0.029;-0.22;;;;;;
-0.439;-0.35;;;;;;;0.044;-0.21;;;;;;
-0.431;-0.35;;;;;;;0.06;-0.19;;;;;;
-0.422;-0.36;;;;;;;0.075;-0.18;;;;;;
-0.414;-0.36;;;;;;;0.09;-0.17;;;;;;
-0.402;-0.36;;;;;;;0.104;-0.15;;;;;;
-0.384;-0.35;;;;;;;0.117;-0.14;;;;;;
-0.366;-0.35;;;;;;;0.131;-0.12;;;;;;
-0.35;-0.35;;;;;;;0.143;-0.1;;;;;;
-0.334;-0.35;;;;;;;0.155;-0.08;;;;;;
-0.313;-0.34;;;;;;;0.169;-0.07;;;;;;
-0.291;-0.34;;;;;;;0.181;-0.04;;;;;;
-0.272;-0.34;;;;;;;0.196;-0.02;;;;;;
-0.254;-0.33;;;;;;;0.21;0;;;;;;
-0.235;-0.33;;;;;;;0.224;0.02;;;;;;
-0.216;-0.32;;;;;;;0.239;0.05;;;;;;
-0.198;-0.32;;;;;;;0.255;0.07;;;;;;
-0.178;-0.31;;;;;;;0.271;0.09;;;;;;
-0.16;-0.31;;;;;;;0.287;0.12;;;;;;
-0.141;-0.3;;;;;;;0.305;0.14;;;;;;
-0.121;-0.29;;;;;;;0.324;0.17;;;;;;
-0.102;-0.29;;;;;;;0.342;0.2;;;;;;
-0.081;-0.28;;;;;;;0.362;0.22;;;;;;
-0.064;-0.27;;;;;;;0.383;0.25;;;;;;
-0.054;-0.26;;;;;;;0.405;0.28;;;;;;
-0.046;-0.26;;;;;;;0.426;0.3;;;;;;
-0.04;-0.25;;;;;;;0.45;0.33;;;;;;
-0.035;-0.25;;;;;;;0.471;0.35;;;;;;
-0.025;-0.24;;;;;;;0.482;0.37;;;;;;
0.003;-0.24;;;;;;;0.488;0.39;;;;;;
0.021;-0.22;;;;;;;0.491;0.41;;;;;;
0.037;-0.21;;;;;;;0.49;0.42;;;;;;
0.059;-0.2;;;;;;;0.488;0.43;;;;;;
0.075;-0.19;;;;;;;0.484;0.44;;;;;;
0.097;-0.17;;;;;;;0.477;0.44;;;;;;
0.113;-0.15;;;;;;;0.47;0.45;;;;;;
0.129;-0.14;;;;;;;0.461;0.45;;;;;;
0.143;-0.12;;;;;;;0.451;0.45;;;;;;
;;;;;;;;0.44;0.46;;;;;;
;;;;;;;;0.427;0.46;;;;;;
;;;;;;;;0.412;0.45;;;;;;
;;;;;;;;0.397;0.45;;;;;;
;;;;;;;;0.38;0.45;;;;;;
;;;;;;;;0.362;0.45;;;;;;
;;;;;;;;0.344;0.45;;;;;;
;;;;;;;;0.326;0.44;;;;;;
;;;;;;;;0.308;0.44;;;;;;
;;;;;;;;0.291;0.44;;;;;;
;;;;;;;;0.273;0.43;;;;;;
;;;;;;;;0.254;0.43;;;;;;
;;;;;;;;0.236;0.42;;;;;;
;;;;;;;;0.217;0.42;;;;;;
;;;;;;;;0.2;0.41;;;;;;
;;;;;;;;0.181;0.41;;;;;;
;;;;;;;;0.164;0.4;;;;;;
;;;;;;;;0.145;0.4;;;;;;
;;;;;;;;0.128;0.39;;;;;;
;;;;;;;;0.11;0.38;;;;;;
;;;;;;;;0.092;0.38;;;;;;
;;;;;;;;0.074;0.37;;;;;;
;;;;;;;;0.058;0.36;;;;;;
;;;;;;;;0.041;0.35;;;;;;
;;;;;;;;0.025;0.34;;;;;;
;;;;;;;;0.007;0.34;;;;;;
;;;;;;;;-0.009;0.33;;;;;;
;;;;;;;;-0.025;0.32;;;;;;
;;;;;;;;-0.041;0.3;;;;;;
;;;;;;;;-0.057;0.29;;;;;;
;;;;;;;;-0.072;0.28;;;;;;
;;;;;;;;-0.086;0.27;;;;;;
;;;;;;;;-0.1;0.25;;;;;;
;;;;;;;;-0.113;0.24;;;;;;
;;;;;;;;-0.127;0.22;;;;;;
;;;;;;;;-0.139;0.2;;;;;;
;;;;;;;;-0.151;0.19;;;;;;
;;;;;;;;-0.165;0.17;;;;;;
;;;;;;;;-0.177;0.15;;;;;;
;;;;;;;;-0.191;0.13;;;;;;
;;;;;;;;-0.205;0.11;;;;;;
;;;;;;;;-0.22;0.08;;;;;;
;;;;;;;;-0.234;0.06;;;;;;
;;;;;;;;-0.25;0.04;;;;;;
;;;;;;;;-0.266;0.01;;;;;;
;;;;;;;;-0.283;-0.01;;;;;;
;;;;;;;;-0.3;-0.04;;;;;;
;;;;;;;;-0.318;-0.06;;;;;;
;;;;;;;;-0.337;-0.09;;;;;;
;;;;;;;;-0.356;-0.11;;;;;;
;;;;;;;;-0.377;-0.14;;;;;;
;;;;;;;;-0.398;-0.17;;;;;;
