Sinusoidal, 0.1Hz, 2V;;Saturacion;;Sinusoidal, 0.3Hz, 2V;;Saturacion;;Sierra, 0.1Hz, 2V;;Saturacion;;Sierra, 0.3Hz, 2V;;Saturacion;
Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo
0.002;0;0.596;0.75;0.004;0;0.357;0.7;0.002;0;0.4;0.63;0.002;0;0.254;0.53
0.008;0;;;0.018;0;;;0.006;0;;;0.011;0;;
0.005;0;Integral;0,242 VsA;0.022;0.01;Integral;0,150 VsA;0.004;0;Integral;0,192 VsA;0.006;0.01;Integral;0,116 VsA
0.013;0.01;;;0.048;0.02;;;0.008;0.01;;;0.015;0.02;;
0.02;0.02;;;0.062;0.04;;;0.013;0.01;;;0.025;0.03;;
0.029;0.03;;;0.07;0.07;;;0.018;0.02;;;0.035;0.06;;
0.036;0.05;;;0.076;0.11;;;0.024;0.03;;;0.044;0.08;;
0.043;0.06;;;0.085;0.14;;;0.028;0.04;;;0.052;0.11;;
0.051;0.08;;;0.093;0.19;;;0.033;0.05;;;0.062;0.14;;
0.059;0.1;;;0.104;0.24;;;0.037;0.06;;;0.071;0.18;;
0.068;0.13;;;0.117;0.29;;;0.042;0.08;;;0.084;0.22;;
0.076;0.15;;;0.133;0.34;;;0.047;0.09;;;0.099;0.27;;
0.084;0.18;;;0.149;0.39;;;0.051;0.1;;;0.119;0.32;;
0.093;0.21;;;0.172;0.44;;;0.056;0.12;;;0.145;0.37;;
0.102;0.24;;;0.198;0.49;;;0.06;0.14;;;0.178;0.42;;
0.114;0.27;;;0.229;0.54;;;0.066;0.16;;;0.216;0.47;;
0.126;0.3;;;0.266;0.59;;;0.071;0.18;;;0.263;0.52;;
0.139;0.33;;;0.306;0.63;;;0.077;0.2;;;0.312;0.56;;
0.154;0.37;;;0.345;0.67;;;0.085;0.22;;;0.356;0.6;;
0.172;0.4;;;0.386;0.7;;;0.093;0.25;;;0.392;0.62;;
0.191;0.43;;;0.422;0.72;;;0.103;0.27;;;0.416;0.64;;
0.21;0.47;;;0.452;0.74;;;0.114;0.3;;;0.43;0.65;;
0.233;0.5;;;0.475;0.76;;;0.127;0.32;;;0.436;0.65;;
0.257;0.53;;;0.489;0.76;;;0.141;0.35;;;0.424;0.65;;
0.282;0.56;;;0.493;0.76;;;0.155;0.38;;;0.4;0.64;;
0.31;0.59;;;0.48;0.76;;;0.172;0.4;;;0.37;0.64;;
0.339;0.61;;;0.454;0.76;;;0.19;0.43;;;0.339;0.63;;
0.368;0.63;;;0.421;0.76;;;0.209;0.45;;;0.308;0.63;;
0.398;0.65;;;0.385;0.75;;;0.231;0.48;;;0.278;0.62;;
0.426;0.67;;;0.347;0.74;;;0.253;0.5;;;0.249;0.61;;
0.453;0.69;;;0.31;0.73;;;0.277;0.53;;;0.222;0.59;;
0.477;0.7;;;0.274;0.72;;;0.301;0.55;;;0.196;0.58;;
0.501;0.71;;;0.238;0.7;;;0.326;0.57;;;0.17;0.56;;
0.521;0.72;;;0.204;0.68;;;0.351;0.59;;;0.146;0.54;;
0.539;0.73;;;0.171;0.66;;;0.376;0.61;;;0.122;0.52;;
0.554;0.74;;;0.14;0.63;;;0.4;0.63;;;0.101;0.5;;
0.566;0.74;;;0.111;0.6;;;0.424;0.65;;;0.081;0.47;;
0.576;0.75;;;0.085;0.57;;;0.443;0.66;;;0.062;0.44;;
0.584;0.75;;;0.06;0.53;;;0.457;0.67;;;0.043;0.41;;
0.589;0.75;;;0.038;0.49;;;0.466;0.67;;;0.026;0.37;;
0.594;0.75;;;0.019;0.44;;;0.471;0.67;;;0.012;0.33;;
0.596;0.75;;;0.003;0.39;;;0.471;0.67;;;-0.002;0.29;;
0.596;0.75;;;-0.011;0.34;;;0.466;0.67;;;-0.013;0.24;;
0.593;0.75;;;-0.024;0.29;;;0.456;0.67;;;-0.024;0.19;;
0.588;0.75;;;-0.036;0.24;;;0.443;0.67;;;-0.035;0.14;;
0.582;0.75;;;-0.048;0.19;;;0.43;0.67;;;-0.046;0.09;;
0.575;0.75;;;-0.059;0.14;;;0.416;0.67;;;-0.059;0.04;;
0.567;0.75;;;-0.073;0.08;;;0.402;0.67;;;-0.07;-0.01;;
0.557;0.75;;;-0.086;0.03;;;0.388;0.66;;;-0.085;-0.06;;
0.547;0.75;;;-0.102;-0.02;;;0.374;0.66;;;-0.1;-0.11;;
0.536;0.75;;;-0.117;-0.07;;;0.36;0.66;;;-0.117;-0.16;;
0.524;0.75;;;-0.136;-0.12;;;0.346;0.65;;;-0.135;-0.22;;
0.512;0.75;;;-0.155;-0.17;;;0.332;0.65;;;-0.152;-0.27;;
0.498;0.74;;;-0.178;-0.22;;;0.319;0.65;;;-0.169;-0.32;;
0.484;0.74;;;-0.203;-0.27;;;0.305;0.64;;;-0.185;-0.36;;
0.47;0.74;;;-0.229;-0.32;;;0.291;0.64;;;-0.202;-0.39;;
0.456;0.74;;;-0.256;-0.36;;;0.278;0.63;;;-0.215;-0.42;;
0.439;0.74;;;-0.282;-0.39;;;0.266;0.63;;;-0.227;-0.44;;
0.423;0.73;;;-0.305;-0.42;;;0.253;0.62;;;-0.235;-0.45;;
0.407;0.73;;;-0.325;-0.44;;;0.24;0.62;;;-0.239;-0.46;;
0.39;0.73;;;-0.338;-0.45;;;0.228;0.61;;;-0.24;-0.46;;
0.372;0.72;;;-0.342;-0.45;;;0.215;0.61;;;-0.229;-0.46;;
0.355;0.72;;;-0.335;-0.45;;;0.203;0.6;;;-0.209;-0.45;;
0.338;0.71;;;-0.31;-0.45;;;0.191;0.59;;;-0.185;-0.44;;
0.32;0.7;;;-0.278;-0.44;;;0.179;0.58;;;-0.163;-0.43;;
0.302;0.7;;;-0.243;-0.43;;;0.167;0.57;;;-0.139;-0.42;;
0.284;0.69;;;-0.21;-0.42;;;0.156;0.57;;;-0.117;-0.41;;
0.266;0.68;;;-0.178;-0.4;;;0.145;0.56;;;-0.096;-0.39;;
0.248;0.67;;;-0.147;-0.38;;;0.134;0.55;;;-0.076;-0.37;;
0.231;0.66;;;-0.118;-0.36;;;0.122;0.53;;;-0.059;-0.35;;
0.213;0.65;;;-0.092;-0.33;;;0.112;0.52;;;-0.042;-0.32;;
0.195;0.64;;;-0.069;-0.3;;;0.102;0.51;;;-0.026;-0.29;;
0.178;0.63;;;-0.046;-0.26;;;0.091;0.5;;;-0.012;-0.26;;
0.162;0.61;;;-0.026;-0.22;;;0.082;0.48;;;0.001;-0.22;;
0.144;0.6;;;-0.009;-0.17;;;0.071;0.47;;;0.013;-0.18;;
0.13;0.58;;;0.005;-0.12;;;0.063;0.45;;;0.022;-0.14;;
0.114;0.56;;;0.018;-0.07;;;0.053;0.44;;;0.032;-0.09;;
0.099;0.54;;;0.03;-0.02;;;0.045;0.42;;;0.042;-0.04;;
0.084;0.52;;;0.042;0.03;;;0.036;0.4;;;0.052;0.02;;
0.07;0.5;;;0.054;0.08;;;0.028;0.38;;;0.063;0.07;;
0.057;0.48;;;0.065;0.13;;;0.02;0.36;;;0.075;0.12;;
0.044;0.45;;;0.078;0.18;;;0.013;0.34;;;0.089;0.17;;
0.032;0.43;;;0.092;0.24;;;0.005;0.32;;;0.105;0.22;;
0.021;0.4;;;0.107;0.29;;;-0.001;0.3;;;0.123;0.27;;
0.011;0.37;;;0.124;0.34;;;-0.007;0.27;;;0.142;0.32;;
0.002;0.34;;;0.143;0.39;;;-0.013;0.25;;;0.163;0.37;;
-0.007;0.3;;;0.164;0.44;;;-0.019;0.22;;;0.184;0.42;;
-0.015;0.27;;;0.189;0.49;;;-0.024;0.2;;;0.204;0.45;;
-0.023;0.23;;;0.215;0.54;;;-0.03;0.17;;;0.224;0.48;;
-0.032;0.19;;;0.245;0.58;;;-0.035;0.14;;;0.24;0.5;;
-0.038;0.15;;;0.276;0.62;;;-0.042;0.11;;;0.252;0.52;;
-0.047;0.11;;;0.303;0.65;;;-0.048;0.07;;;0.259;0.53;;
-0.055;0.06;;;0.327;0.67;;;-0.054;0.04;;;0.261;0.53;;
-0.064;0.02;;;0.344;0.69;;;-0.06;0.01;;;0.252;0.53;;
-0.073;-0.03;;;0.355;0.69;;;-0.067;-0.03;;;0.232;0.52;;
-0.083;-0.08;;;0.357;0.7;;;-0.074;-0.07;;;0.207;0.52;;
-0.094;-0.12;;;0.339;0.69;;;-0.081;-0.1;;;0.182;0.51;;
-0.105;-0.17;;;0.309;0.69;;;-0.088;-0.14;;;0.158;0.5;;
-0.117;-0.22;;;0.275;0.68;;;-0.097;-0.18;;;0.134;0.49;;
-0.131;-0.27;;;0.24;0.67;;;-0.106;-0.22;;;0.113;0.47;;
-0.146;-0.32;;;0.205;0.66;;;-0.116;-0.26;;;0.092;0.45;;
-0.163;-0.37;;;0.173;0.64;;;-0.127;-0.3;;;0.073;0.43;;
-0.181;-0.42;;;0.143;0.62;;;-0.139;-0.34;;;0.055;0.41;;
-0.202;-0.46;;;0.115;0.59;;;-0.152;-0.39;;;0.038;0.38;;
-0.225;-0.51;;;0.089;0.56;;;-0.167;-0.43;;;0.024;0.35;;
-0.25;-0.55;;;0.065;0.53;;;-0.184;-0.47;;;0.009;0.31;;
-0.279;-0.59;;;0.043;0.49;;;-0.203;-0.51;;;-0.003;0.28;;
-0.31;-0.62;;;0.024;0.45;;;-0.227;-0.55;;;-0.013;0.23;;
-0.344;-0.66;;;0.007;0.4;;;-0.252;-0.59;;;-0.024;0.19;;
-0.379;-0.68;;;-0.007;0.35;;;-0.279;-0.63;;;-0.034;0.14;;
-0.413;-0.71;;;-0.02;0.3;;;-0.304;-0.65;;;-0.044;0.08;;
-0.447;-0.73;;;-0.032;0.25;;;-0.328;-0.68;;;-0.054;0.03;;
-0.477;-0.75;;;-0.043;0.2;;;-0.349;-0.69;;;-0.066;-0.02;;
-0.503;-0.76;;;-0.056;0.15;;;-0.367;-0.71;;;-0.079;-0.07;;
-0.526;-0.77;;;-0.068;0.1;;;-0.381;-0.72;;;-0.095;-0.12;;
-0.544;-0.78;;;-0.081;0.05;;;-0.392;-0.73;;;-0.112;-0.17;;
-0.557;-0.78;;;-0.096;-0.01;;;-0.398;-0.73;;;-0.131;-0.22;;
-0.568;-0.79;;;-0.111;-0.06;;;-0.403;-0.73;;;-0.151;-0.27;;
-0.574;-0.79;;;-0.129;-0.11;;;-0.402;-0.73;;;-0.172;-0.32;;
-0.577;-0.79;;;-0.148;-0.16;;;-0.394;-0.73;;;-0.194;-0.37;;
-0.579;-0.79;;;-0.171;-0.21;;;-0.383;-0.73;;;-0.214;-0.4;;
-0.575;-0.79;;;-0.196;-0.26;;;-0.369;-0.73;;;-0.232;-0.43;;
-0.568;-0.79;;;-0.223;-0.31;;;-0.355;-0.73;;;-0.246;-0.45;;
-0.558;-0.79;;;-0.252;-0.35;;;-0.343;-0.72;;;-0.258;-0.47;;
-0.548;-0.79;;;-0.281;-0.39;;;-0.33;-0.72;;;-0.265;-0.48;;
-0.538;-0.79;;;-0.308;-0.42;;;-0.316;-0.72;;;-0.266;-0.48;;
-0.526;-0.79;;;-0.332;-0.44;;;-0.302;-0.72;;;-0.258;-0.48;;
-0.514;-0.78;;;-0.348;-0.45;;;-0.289;-0.71;;;-0.237;-0.47;;
-0.501;-0.78;;;-0.357;-0.46;;;-0.277;-0.71;;;-0.214;-0.47;;
-0.487;-0.78;;;-0.357;-0.46;;;-0.264;-0.7;;;-0.19;-0.46;;
-0.472;-0.78;;;-0.338;-0.46;;;-0.251;-0.7;;;-0.165;-0.45;;
-0.457;-0.78;;;-0.308;-0.45;;;-0.238;-0.69;;;-0.141;-0.44;;
-0.442;-0.77;;;-0.274;-0.44;;;-0.226;-0.69;;;-0.119;-0.42;;
-0.425;-0.77;;;-0.238;-0.43;;;-0.214;-0.68;;;-0.098;-0.4;;
-0.409;-0.77;;;-0.205;-0.42;;;-0.202;-0.68;;;-0.079;-0.38;;
-0.393;-0.76;;;-0.172;-0.4;;;-0.191;-0.67;;;-0.06;-0.36;;
-0.376;-0.76;;;-0.143;-0.38;;;-0.178;-0.66;;;-0.043;-0.33;;
-0.357;-0.76;;;-0.114;-0.35;;;-0.168;-0.66;;;-0.028;-0.3;;
-0.341;-0.75;;;-0.088;-0.32;;;-0.157;-0.65;;;-0.013;-0.26;;
-0.322;-0.74;;;-0.065;-0.29;;;-0.145;-0.64;;;-0.001;-0.23;;
-0.304;-0.74;;;-0.043;-0.25;;;-0.135;-0.63;;;0.012;-0.18;;
-0.286;-0.73;;;-0.023;-0.21;;;-0.124;-0.62;;;0.021;-0.14;;
-0.269;-0.72;;;-0.006;-0.16;;;-0.114;-0.61;;;0.031;-0.09;;
-0.251;-0.71;;;0.007;-0.11;;;-0.103;-0.6;;;0.042;-0.04;;
-0.233;-0.7;;;0.02;-0.06;;;-0.093;-0.59;;;0.052;0.01;;
-0.216;-0.69;;;0.032;-0.01;;;-0.084;-0.57;;;0.064;0.07;;
-0.199;-0.68;;;0.044;0.04;;;-0.074;-0.56;;;0.075;0.12;;
-0.181;-0.67;;;0.056;0.09;;;-0.065;-0.55;;;0.089;0.17;;
-0.165;-0.66;;;0.068;0.15;;;-0.057;-0.53;;;0.105;0.22;;
-0.147;-0.64;;;0.081;0.2;;;-0.048;-0.51;;;0.123;0.27;;
-0.132;-0.63;;;0.096;0.25;;;-0.039;-0.5;;;0.142;0.32;;
-0.117;-0.61;;;0.111;0.3;;;-0.031;-0.48;;;0.162;0.37;;
-0.102;-0.59;;;0.129;0.35;;;-0.024;-0.46;;;0.181;0.42;;
-0.087;-0.57;;;0.147;0.4;;;-0.015;-0.44;;;0.201;0.45;;
-0.073;-0.55;;;0.17;0.45;;;-0.009;-0.42;;;0.219;0.48;;
-0.059;-0.53;;;0.195;0.5;;;-0.002;-0.4;;;0.234;0.5;;
-0.046;-0.5;;;0.221;0.55;;;0.004;-0.37;;;0.245;0.51;;
-0.035;-0.47;;;0.25;0.59;;;0.011;-0.35;;;0.253;0.52;;
-0.024;-0.45;;;0.28;0.63;;;0.017;-0.32;;;0.254;0.53;;
-0.013;-0.42;;;0.307;0.66;;;0.021;-0.3;;;0.245;0.52;;
-0.004;-0.38;;;0.33;0.68;;;0.028;-0.27;;;0.226;0.52;;
0.005;-0.35;;;0.346;0.69;;;0.033;-0.24;;;0.202;0.51;;
0.013;-0.32;;;0.354;0.7;;;0.037;-0.21;;;0.177;0.51;;
0.021;-0.28;;;0.352;0.7;;;0.043;-0.18;;;0.153;0.49;;
0.028;-0.24;;;0.331;0.69;;;0.05;-0.14;;;0.131;0.48;;
0.036;-0.2;;;0.299;0.69;;;0.056;-0.11;;;0.108;0.47;;
0.044;-0.16;;;0.265;0.68;;;0.062;-0.08;;;0.088;0.45;;
0.052;-0.11;;;0.231;0.67;;;0.068;-0.04;;;0.07;0.42;;
0.061;-0.07;;;0.197;0.65;;;0.075;0;;;0.051;0.4;;
0.07;-0.02;;;0.165;0.64;;;0.083;0.03;;;0.035;0.37;;
0.08;0.02;;;0.136;0.61;;;0.09;0.07;;;0.021;0.34;;
0.089;0.07;;;0.107;0.59;;;0.1;0.11;;;0.007;0.31;;
0.1;0.12;;;0.082;0.56;;;0.109;0.15;;;-0.005;0.27;;
0.112;0.17;;;0.059;0.52;;;0.119;0.19;;;-0.016;0.22;;
0.125;0.22;;;0.037;0.48;;;0.131;0.24;;;-0.026;0.18;;
0.139;0.27;;;0.018;0.44;;;0.143;0.28;;;-0.036;0.13;;
0.154;0.32;;;0.003;0.39;;;0.158;0.32;;;-0.046;0.07;;
0.172;0.37;;;-0.011;0.34;;;0.174;0.36;;;-0.057;0.02;;
0.191;0.41;;;-0.022;0.29;;;0.194;0.41;;;-0.068;-0.03;;
0.214;0.46;;;-0.035;0.24;;;0.216;0.45;;;-0.082;-0.08;;
0.239;0.5;;;-0.047;0.19;;;0.242;0.49;;;-0.097;-0.13;;
0.268;0.54;;;-0.059;0.14;;;0.269;0.52;;;-0.115;-0.18;;
0.299;0.58;;;-0.071;0.09;;;0.295;0.55;;;-0.135;-0.23;;
0.333;0.61;;;-0.085;0.03;;;0.321;0.58;;;-0.155;-0.28;;
0.368;0.64;;;-0.099;-0.02;;;0.342;0.6;;;-0.177;-0.33;;
0.403;0.67;;;-0.116;-0.07;;;0.361;0.61;;;-0.199;-0.38;;
0.438;0.69;;;-0.133;-0.12;;;0.376;0.62;;;-0.219;-0.41;;
0.469;0.71;;;-0.153;-0.17;;;0.387;0.63;;;-0.237;-0.44;;
0.496;0.72;;;-0.177;-0.22;;;0.394;0.63;;;-0.253;-0.46;;
0.52;0.73;;;-0.203;-0.27;;;0.397;0.64;;;-0.263;-0.47;;
0.54;0.74;;;-0.231;-0.32;;;0.396;0.64;;;-0.269;-0.48;;
0.555;0.75;;;-0.26;-0.36;;;0.388;0.64;;;-0.27;-0.48;;
0.566;0.75;;;-0.291;-0.4;;;0.377;0.63;;;-0.258;-0.48;;
0.573;0.75;;;-0.317;-0.42;;;0.364;0.63;;;-0.236;-0.47;;
0.576;0.76;;;-0.339;-0.44;;;0.351;0.63;;;-0.212;-0.47;;
0.577;0.76;;;-0.352;-0.45;;;0.339;0.63;;;-0.187;-0.46;;
0.573;0.76;;;-0.359;-0.46;;;0.325;0.63;;;-0.162;-0.45;;
0.567;0.76;;;-0.355;-0.46;;;0.312;0.62;;;-0.14;-0.43;;
