Corriente;Flujo;Integral;;;;;
0.002;0;0.376;;;;;
0.007;0;;;;;;
0.028;0;;;;;;
0.051;0;;;;;;
0.072;0.01;;;;;;
0.092;0.01;;;;;;
0.113;0.02;;;;;;
0.132;0.02;;;;;;
0.151;0.03;;;;;;
0.169;0.03;;;;;;
0.184;0.04;;;;;;
0.196;0.05;;;;;;
0.206;0.06;;;;;;
0.216;0.07;;;;;;
0.226;0.09;;;;;;
0.235;0.1;;;;;;
0.245;0.12;;;;;;
0.257;0.13;;;;;;
0.268;0.15;;;;;;
0.281;0.17;;;;;;
0.293;0.19;;;;;;
0.307;0.21;;;;;;
0.321;0.23;;;;;;
0.335;0.25;;;;;;
0.348;0.27;;;;;;
0.364;0.29;;;;;;
0.38;0.31;;;;;;
0.394;0.33;;;;;;
0.407;0.35;;;;;;
0.421;0.36;;;;;;
0.434;0.38;;;;;;
0.446;0.4;;;;;;
0.458;0.41;;;;;;
0.469;0.43;;;;;;
0.478;0.44;;;;;;
0.486;0.45;;;;;;
0.494;0.47;;;;;;
0.501;0.48;;;;;;
0.506;0.49;;;;;;
0.511;0.5;;;;;;
0.516;0.5;;;;;;
0.519;0.51;;;;;;
0.519;0.52;;;;;;
0.519;0.52;;;;;;
0.519;0.53;;;;;;
0.517;0.53;;;;;;
0.513;0.53;;;;;;
0.507;0.53;;;;;;
0.5;0.53;;;;;;
0.491;0.53;;;;;;
0.48;0.53;;;;;;
0.469;0.53;;;;;;
0.454;0.53;;;;;;
0.439;0.53;;;;;;
0.421;0.53;;;;;;
0.404;0.53;;;;;;
0.386;0.52;;;;;;
0.367;0.52;;;;;;
0.346;0.52;;;;;;
0.327;0.52;;;;;;
0.306;0.51;;;;;;
0.285;0.51;;;;;;
0.265;0.5;;;;;;
0.242;0.5;;;;;;
0.221;0.49;;;;;;
0.198;0.48;;;;;;
0.176;0.48;;;;;;
0.153;0.47;;;;;;
0.131;0.46;;;;;;
0.108;0.45;;;;;;
0.087;0.45;;;;;;
0.065;0.44;;;;;;
0.044;0.43;;;;;;
0.022;0.42;;;;;;
0.002;0.4;;;;;;
-0.018;0.39;;;;;;
-0.038;0.38;;;;;;
-0.057;0.36;;;;;;
-0.075;0.35;;;;;;
-0.092;0.33;;;;;;
-0.108;0.32;;;;;;
-0.123;0.3;;;;;;
-0.137;0.28;;;;;;
-0.15;0.26;;;;;;
-0.165;0.24;;;;;;
-0.179;0.22;;;;;;
-0.193;0.19;;;;;;
-0.206;0.17;;;;;;
-0.221;0.14;;;;;;
-0.234;0.12;;;;;;
-0.249;0.09;;;;;;
-0.263;0.07;;;;;;
-0.276;0.04;;;;;;
-0.289;0.02;;;;;;
-0.302;-0.01;;;;;;
-0.311;-0.03;;;;;;
-0.32;-0.05;;;;;;
-0.333;-0.08;;;;;;
-0.344;-0.1;;;;;;
-0.356;-0.12;;;;;;
-0.368;-0.14;;;;;;
-0.378;-0.16;;;;;;
-0.393;-0.18;;;;;;
-0.405;-0.2;;;;;;
-0.415;-0.22;;;;;;
-0.423;-0.23;;;;;;
-0.431;-0.25;;;;;;
-0.438;-0.27;;;;;;
-0.444;-0.28;;;;;;
-0.45;-0.29;;;;;;
-0.455;-0.3;;;;;;
-0.459;-0.31;;;;;;
-0.46;-0.32;;;;;;
-0.462;-0.33;;;;;;
-0.462;-0.34;;;;;;
-0.461;-0.35;;;;;;
-0.459;-0.35;;;;;;
-0.454;-0.36;;;;;;
-0.45;-0.36;;;;;;
-0.443;-0.36;;;;;;
-0.435;-0.36;;;;;;
-0.427;-0.36;;;;;;
-0.415;-0.36;;;;;;
-0.401;-0.36;;;;;;
-0.386;-0.36;;;;;;
-0.369;-0.36;;;;;;
-0.354;-0.36;;;;;;
-0.339;-0.35;;;;;;
-0.322;-0.35;;;;;;
-0.304;-0.35;;;;;;
-0.286;-0.34;;;;;;
-0.268;-0.34;;;;;;
-0.25;-0.34;;;;;;
-0.232;-0.33;;;;;;
-0.211;-0.33;;;;;;
-0.192;-0.32;;;;;;
-0.172;-0.32;;;;;;
-0.152;-0.31;;;;;;
-0.132;-0.3;;;;;;
-0.112;-0.3;;;;;;
-0.091;-0.29;;;;;;
-0.073;-0.28;;;;;;
-0.059;-0.27;;;;;;
-0.05;-0.27;;;;;;
-0.043;-0.26;;;;;;
-0.037;-0.26;;;;;;
-0.03;-0.25;;;;;;
-0.004;-0.24;;;;;;
0.03;-0.23;;;;;;
0.053;-0.21;;;;;;
0.073;-0.2;;;;;;
0.091;-0.18;;;;;;
0.109;-0.17;;;;;;
0.123;-0.15;;;;;;
0.138;-0.13;;;;;;
0.151;-0.11;;;;;;
0.164;-0.09;;;;;;
0.176;-0.07;;;;;;
0.19;-0.04;;;;;;
0.204;-0.02;;;;;;
0.218;0;;;;;;
0.232;0.03;;;;;;
0.244;0.05;;;;;;
0.258;0.08;;;;;;
0.272;0.1;;;;;;
0.286;0.13;;;;;;
0.301;0.16;;;;;;
0.318;0.18;;;;;;
0.332;0.21;;;;;;
0.349;0.23;;;;;;
0.366;0.26;;;;;;
0.383;0.28;;;;;;
0.398;0.3;;;;;;
0.411;0.32;;;;;;
0.424;0.35;;;;;;
0.436;0.36;;;;;;
0.447;0.38;;;;;;
0.457;0.4;;;;;;
0.466;0.42;;;;;;
0.474;0.43;;;;;;
0.48;0.44;;;;;;
0.485;0.46;;;;;;
0.49;0.47;;;;;;
0.493;0.48;;;;;;
0.495;0.48;;;;;;
0.496;0.49;;;;;;
0.495;0.5;;;;;;
0.493;0.5;;;;;;
0.49;0.51;;;;;;
0.485;0.51;;;;;;
0.478;0.51;;;;;;
0.47;0.51;;;;;;
0.459;0.51;;;;;;
0.445;0.51;;;;;;
0.432;0.51;;;;;;
0.42;0.51;;;;;;
0.405;0.51;;;;;;
0.387;0.5;;;;;;
0.369;0.5;;;;;;
0.35;0.5;;;;;;
0.33;0.5;;;;;;
0.309;0.49;;;;;;
0.29;0.49;;;;;;
0.269;0.48;;;;;;
0.247;0.48;;;;;;
0.226;0.47;;;;;;
0.203;0.47;;;;;;
0.181;0.46;;;;;;
0.159;0.45;;;;;;
0.137;0.45;;;;;;
0.114;0.44;;;;;;
0.092;0.43;;;;;;
0.07;0.42;;;;;;
0.049;0.41;;;;;;
0.027;0.4;;;;;;
0.006;0.39;;;;;;
-0.015;0.38;;;;;;
-0.035;0.36;;;;;;
-0.054;0.35;;;;;;
-0.072;0.34;;;;;;
-0.089;0.32;;;;;;
-0.105;0.3;;;;;;
-0.121;0.29;;;;;;
-0.135;0.27;;;;;;
-0.148;0.25;;;;;;
-0.161;0.23;;;;;;
-0.163;0.21;;;;;;
-0.177;0.19;;;;;;
-0.186;0.17;;;;;;
-0.197;0.15;;;;;;
-0.207;0.13;;;;;;
-0.22;0.11;;;;;;
-0.231;0.09;;;;;;
-0.243;0.07;;;;;;
-0.254;0.05;;;;;;
-0.265;0.03;;;;;;
-0.278;0;;;;;;
-0.289;-0.02;;;;;;
-0.304;-0.04;;;;;;
-0.318;-0.06;;;;;;
-0.331;-0.09;;;;;;
-0.34;-0.11;;;;;;
-0.352;-0.13;;;;;;
-0.364;-0.15;;;;;;
-0.376;-0.17;;;;;;
-0.387;-0.19;;;;;;
-0.397;-0.2;;;;;;
-0.406;-0.22;;;;;;
-0.416;-0.24;;;;;;
-0.425;-0.26;;;;;;
-0.432;-0.27;;;;;;
-0.439;-0.28;;;;;;
-0.443;-0.3;;;;;;
-0.444;-0.31;;;;;;
-0.444;-0.31;;;;;;
-0.446;-0.32;;;;;;
-0.445;-0.33;;;;;;
-0.445;-0.34;;;;;;
-0.441;-0.34;;;;;;
-0.438;-0.34;;;;;;
-0.432;-0.35;;;;;;
-0.427;-0.35;;;;;;
-0.417;-0.35;;;;;;
-0.405;-0.35;;;;;;
-0.388;-0.35;;;;;;
-0.375;-0.35;;;;;;
-0.36;-0.35;;;;;;
-0.343;-0.35;;;;;;
-0.329;-0.34;;;;;;
-0.303;-0.34;;;;;;
-0.28;-0.34;;;;;;
-0.259;-0.33;;;;;;
-0.241;-0.33;;;;;;
-0.222;-0.32;;;;;;
-0.206;-0.32;;;;;;
-0.189;-0.31;;;;;;
-0.171;-0.31;;;;;;
-0.153;-0.3;;;;;;
-0.136;-0.29;;;;;;
-0.11;-0.29;;;;;;
-0.091;-0.28;;;;;;
-0.076;-0.27;;;;;;
-0.06;-0.26;;;;;;
-0.051;-0.26;;;;;;
-0.043;-0.25;;;;;;
-0.037;-0.25;;;;;;
-0.033;-0.24;;;;;;
-0.029;-0.24;;;;;;
-0.018;-0.23;;;;;;
0.003;-0.23;;;;;;
0.022;-0.22;;;;;;
0.052;-0.2;;;;;;
0.073;-0.19;;;;;;
0.091;-0.17;;;;;;
0.106;-0.16;;;;;;
0.121;-0.14;;;;;;
0.134;-0.12;;;;;;
0.146;-0.11;;;;;;
0.16;-0.09;;;;;;
0.174;-0.06;;;;;;
0.19;-0.04;;;;;;
0.207;-0.01;;;;;;
0.223;0.01;;;;;;
0.238;0.04;;;;;;
0.253;0.07;;;;;;
0.268;0.09;;;;;;
0.283;0.12;;;;;;
0.298;0.15;;;;;;
0.315;0.17;;;;;;
0.33;0.2;;;;;;
0.344;0.22;;;;;;
0.359;0.25;;;;;;
0.373;0.27;;;;;;
0.387;0.29;;;;;;
0.401;0.31;;;;;;
0.412;0.33;;;;;;
0.424;0.35;;;;;;
0.435;0.37;;;;;;
0.446;0.39;;;;;;
0.455;0.4;;;;;;
0.463;0.42;;;;;;
0.47;0.43;;;;;;
0.476;0.44;;;;;;
0.481;0.45;;;;;;
0.486;0.46;;;;;;
0.488;0.47;;;;;;
0.49;0.48;;;;;;
0.489;0.49;;;;;;
0.487;0.49;;;;;;
0.483;0.5;;;;;;
0.479;0.5;;;;;;
0.472;0.5;;;;;;
0.464;0.5;;;;;;
0.455;0.5;;;;;;
0.443;0.5;;;;;;
0.429;0.5;;;;;;
0.414;0.5;;;;;;
0.397;0.5;;;;;;
0.381;0.49;;;;;;
0.362;0.49;;;;;;
0.344;0.49;;;;;;
0.325;0.49;;;;;;
0.305;0.48;;;;;;
0.285;0.48;;;;;;
0.265;0.47;;;;;;
0.244;0.47;;;;;;
0.224;0.46;;;;;;
0.203;0.46;;;;;;
0.181;0.45;;;;;;
0.16;0.45;;;;;;
0.139;0.44;;;;;;
0.117;0.43;;;;;;
0.096;0.42;;;;;;
0.072;0.41;;;;;;
0.053;0.41;;;;;;
0.034;0.4;;;;;;
0.013;0.38;;;;;;
-0.006;0.37;;;;;;
-0.025;0.36;;;;;;
-0.023;0.35;;;;;;
0.007;0.35;;;;;;
0.006;0.35;;;;;;
-0.043;0.34;;;;;;
-0.07;0.33;;;;;;
-0.089;0.31;;;;;;
-0.103;0.3;;;;;;
-0.118;0.28;;;;;;
-0.131;0.26;;;;;;
-0.142;0.25;;;;;;
-0.153;0.23;;;;;;
-0.165;0.21;;;;;;
-0.175;0.19;;;;;;
-0.186;0.17;;;;;;
-0.203;0.15;;;;;;
-0.221;0.12;;;;;;
-0.236;0.1;;;;;;
-0.25;0.07;;;;;;
-0.265;0.05;;;;;;
-0.281;0.02;;;;;;
-0.295;-0.01;;;;;;
-0.307;-0.03;;;;;;
-0.32;-0.05;;;;;;
-0.334;-0.08;;;;;;
-0.347;-0.1;;;;;;
-0.361;-0.12;;;;;;
-0.375;-0.15;;;;;;
-0.387;-0.17;;;;;;
-0.398;-0.19;;;;;;
-0.408;-0.21;;;;;;
-0.418;-0.23;;;;;;
-0.427;-0.24;;;;;;
-0.433;-0.26;;;;;;
-0.44;-0.27;;;;;;
-0.445;-0.29;;;;;;
-0.45;-0.3;;;;;;
-0.453;-0.31;;;;;;
-0.456;-0.32;;;;;;
-0.456;-0.33;;;;;;
-0.456;-0.34;;;;;;
-0.453;-0.34;;;;;;
-0.45;-0.35;;;;;;
-0.446;-0.35;;;;;;
-0.439;-0.35;;;;;;
-0.431;-0.35;;;;;;
-0.422;-0.36;;;;;;
-0.414;-0.36;;;;;;
-0.402;-0.36;;;;;;
-0.384;-0.35;;;;;;
-0.366;-0.35;;;;;;
-0.35;-0.35;;;;;;
-0.334;-0.35;;;;;;
-0.313;-0.34;;;;;;
-0.291;-0.34;;;;;;
-0.272;-0.34;;;;;;
-0.254;-0.33;;;;;;
-0.235;-0.33;;;;;;
-0.216;-0.32;;;;;;
-0.198;-0.32;;;;;;
-0.178;-0.31;;;;;;
-0.16;-0.31;;;;;;
-0.141;-0.3;;;;;;
-0.121;-0.29;;;;;;
-0.102;-0.29;;;;;;
-0.081;-0.28;;;;;;
-0.064;-0.27;;;;;;
-0.054;-0.26;;;;;;
-0.046;-0.26;;;;;;
-0.04;-0.25;;;;;;
-0.035;-0.25;;;;;;
-0.025;-0.24;;;;;;
0.003;-0.24;;;;;;
0.021;-0.22;;;;;;
0.037;-0.21;;;;;;
0.059;-0.2;;;;;;
0.075;-0.19;;;;;;
0.097;-0.17;;;;;;
0.113;-0.15;;;;;;
0.129;-0.14;;;;;;
0.143;-0.12;;;;;;
